Student_ID,Study_Hours,Attendance_Percentage,Quiz_Average,Final_Grade
43,1.6533819011891495,74.86242529461927,95.74321951102243,46.93550294692841
44,18.27708763949686,65.04391549083849,68.50793501277222,49.68690757819831
45,5.916819650400321,64.24202471887338,50.77283082644337,37.8664830016225
46,13.587923402725657,51.84434736772664,96.41592812938626,46.91216762443016
47,6.9225104456988085,80.47821669899484,71.40920741586572,48.684241837687786
48,10.881292402378406,75.13395116144308,98.33274095218349,54.46595661073053
49,11.387495307522313,52.57393756249947,98.18099885446264,50.34906577435379
50,4.512234654985013,63.93232321183057,92.650472773368,52.090386030158804
51,19.422107927526614,95.41329429833269,64.72244460347929,63.73964892228099
52,15.727523643861176,61.978094533348624,69.25488643009626,39.471826252443684
53,18.850479889719594,57.24474360456115,92.55683357584284,63.145831983290364
54,18.001719658125328,74.47263801387815,65.84610025781389,39.535870347145234
55,12.360099597410617,99.28252270553003,58.474637334304624,51.512262375736725
56,18.51561046543922,62.10276357557502,77.84006312291751,52.33067822814633
57,2.6813575389864703,83.60677737029393,96.80773870803904,56.60185717776964
58,4.723674385963759,88.08098076643589,84.80148983374865,50.64071333533789
59,1.8593184893002233,61.881877199619986,78.50305850446824,41.81859685516018
60,7.181276284502022,86.41081743059297,54.85882468853843,42.78839847624606
61,8.384868504100158,68.38915663596266,80.75036133495848,45.148979008195354
62,6.155631603704022,81.61529152967897,99.50269250521316,61.04565833705438
63,16.746012673886657,81.67648553804473,57.0042007618262,50.087688389341174
64,7.778313207178196,76.78873420373793,75.91648261818683,45.45834235314543
65,6.337755684060235,54.51448850272041,93.86865359639776,51.5480442805258
66,11.31122558000672,91.7651247794619,87.03843088771022,59.702054536537375
67,3.6775602745204905,66.0390032485868,84.8507870497634,50.80227179350805
68,16.241742634326755,59.32592551999271,85.12420419935546,52.97988017915321
69,2.4164622299156457,52.0387570777382,67.97455756098776,32.82560422897368
70,19.75085179540983,79.5446471594121,64.67959221322467,48.36670732897011
71,15.67265061663649,83.87821809211411,90.46805777392568,62.30941103208284
72,4.775597949149276,50.829391446392805,90.50566973395904,47.36260886093259
73,1.1049202253484456,75.60465291496405,93.35361592900519,51.024940773509414
74,16.49376714064185,61.3247887598969,95.66202762782356,54.280188689116784
75,14.430289533104725,82.25863952047249,75.56711994304689,59.50816813123983
76,14.851136192778759,58.718321450249576,75.07581473435998,43.12083838831522
77,15.65413658703297,84.5468869051233,89.91475894833876,61.33563529670199
78,2.4068483829477167,69.33676731502686,82.49819653888827,45.502265247184155
79,7.81084884234118,96.83649943683673,85.09834386288517,56.616386510716936
80,3.2015121309774646,56.87604720729966,89.78963347180505,50.77419331605835
81,17.398965091636278,67.05331755251292,94.50026709087831,59.552743174612026
82,12.8426644097236,55.67367606202946,66.89975784257679,45.9766441152745
83,7.2870624722003345,96.23468091392814,68.7791476319972,58.946367588429375
84,2.207608655434449,93.86696766904905,54.69909699204345,45.55788206866532
85,6.908664112597582,62.89708138575778,78.9140070498087,48.7165570321838
86,7.178483118508193,82.99920230170895,51.797113689837104,41.75895426189981
87,14.862517388423218,90.8611100100608,73.27990090662301,56.808141992816644
88,13.11359195574905,77.76004057997312,77.13223173537884,51.062403205066786
89,17.857042108950203,76.48252891780032,64.32706260641422,49.87067412580803
90,9.972083578077036,62.092614545022585,79.54166302845053,49.45490183045732
91,3.272290672827732,54.65513839029496,51.52501249695247,29.071858119137957
92,14.551650957236905,94.86078789766634,51.86740943746072,60.30105596186018
93,15.454915923721051,95.02090285816652,91.13002803298292,56.99715872933475
94,11.664266753820428,81.65507286366339,68.00953207056314,43.49414511785747
95,15.648376419136659,66.95148955243504,56.35302563259424,49.04125949066378
96,10.382116330923424,67.46047873063304,76.11216300274022,51.182952522196025
97,10.931923758257888,86.29778394351197,88.49967765493054,59.93260706809669
98,9.123279348812442,94.85551299762886,60.791051374842155,53.48500859758768
99,1.4829634081378087,94.35432121325587,81.14452379095002,53.18160500028231
100,3.049937112872785,88.99377729288119,54.2673732496884,39.71204815049083
